t,v,a,dS,alpha,h,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.3333333333333333
7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.40277777777777773
8,0.8055555555555555,0.13888888888888884,0.8055555555555555,0,0,0.40277777777777773
9,1.472222222222222,0.6666666666666666,1.472222222222222,0,0,1.1944444444444444
10,3.194444444444444,1.722222222222222,3.194444444444444,0,0,1.5972222222222223
11,4.666666666666667,1.4722222222222228,4.666666666666667,0,0,1.138888888888889
12,5.472222222222222,0.8055555555555554,5.472222222222222,0,0,0.5972222222222223
13,5.861111111111112,0.3888888888888893,5.861111111111112,0,0,0.6666666666666665
14,6.805555555555555,0.9444444444444438,6.805555555555555,0,0,0.8055555555555549
15,7.472222222222221,0.6666666666666661,7.472222222222221,0,0,0.5277777777777777
16,7.861111111111111,0.3888888888888893,7.861111111111111,0,0,0.19444444444444464
17,7.861111111111111,0.0,7.861111111111111,0,0,-0.0555555555555558
18,7.749999999999999,-0.1111111111111116,7.749999999999999,0,0,-0.0555555555555558
19,7.749999999999999,0.0,7.749999999999999,0,0,0.2638888888888897
20,8.277777777777779,0.5277777777777795,8.277777777777779,0,0,0.4583333333333335
21,8.666666666666666,0.3888888888888875,8.666666666666666,0,0,0.33333333333333304
22,8.944444444444445,0.27777777777777857,8.944444444444445,0,0,0.20833333333333393
23,9.083333333333334,0.13888888888888928,9.083333333333334,0,0,0.125
24,9.194444444444445,0.11111111111111072,9.194444444444445,0,0,0.45833333333333304
25,10.0,0.8055555555555554,10.0,0,0,0.9999999999999991
26,11.194444444444443,1.1944444444444429,11.194444444444443,0,0,0.6666666666666661
27,11.333333333333332,0.13888888888888928,11.333333333333332,0,0,0.0
28,11.194444444444443,-0.13888888888888928,11.194444444444443,0,0,-0.4027777777777777
29,10.527777777777777,-0.6666666666666661,10.527777777777777,0,0,-0.5277777777777768
30,10.13888888888889,-0.3888888888888875,10.13888888888889,0,0,-0.5277777777777768
31,9.472222222222223,-0.6666666666666661,9.472222222222223,0,0,-0.8055555555555562
32,8.527777777777777,-0.9444444444444464,8.527777777777777,0,0,-1.333333333333334
33,6.805555555555555,-1.7222222222222214,6.805555555555555,0,0,-2.0694444444444438
34,4.388888888888889,-2.416666666666666,4.388888888888889,0,0,-2.208333333333333
35,2.388888888888889,-2.0000000000000004,2.388888888888889,0,0,-1.5972222222222223
36,1.1944444444444444,-1.1944444444444444,1.1944444444444444,0,0,-1.0
37,0.38888888888888884,-0.8055555555555556,0.38888888888888884,0,0,-0.5277777777777778
38,0.1388888888888889,-0.24999999999999994,0.1388888888888889,0,0,-0.19444444444444442
39,0.0,-0.1388888888888889,0.0,0,0,-0.06944444444444445
40,0.0,0.0,0.0,0,0,0.0
41,0.0,0.0,0.0,0,0,0.0
42,0.0,0.0,0.0,0,0,0.0
43,0.0,0.0,0.0,0,0,0.06944444444444445
44,0.1388888888888889,0.1388888888888889,0.1388888888888889,0,0,0.8055555555555555
45,1.611111111111111,1.472222222222222,1.611111111111111,0,0,1.6666666666666667
