t,v,a,dS,alpha,h,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.2777777777777778
6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,0,1.3055555555555556
7,2.611111111111111,2.0555555555555554,2.611111111111111,0,0,1.9861111111111112
8,4.527777777777778,1.9166666666666665,4.527777777777778,0,0,1.4305555555555556
9,5.472222222222222,0.9444444444444446,5.472222222222222,0,0,0.6805555555555554
10,5.888888888888888,0.4166666666666661,5.888888888888888,0,0,0.6111111111111112
11,6.694444444444445,0.8055555555555562,6.694444444444445,0,0,0.8888888888888893
12,7.666666666666667,0.9722222222222223,7.666666666666667,0,0,0.6944444444444446
13,8.083333333333334,0.41666666666666696,8.083333333333334,0,0,0.6805555555555549
14,9.027777777777777,0.9444444444444429,9.027777777777777,0,0,1.0277777777777777
15,10.13888888888889,1.1111111111111125,10.13888888888889,0,0,0.625
16,10.277777777777777,0.1388888888888875,10.277777777777777,0,0,0.2638888888888884
17,10.666666666666666,0.3888888888888893,10.666666666666666,0,0,0.6111111111111116
18,11.5,0.8333333333333339,11.5,0,0,0.6944444444444446
19,12.055555555555555,0.5555555555555554,12.055555555555555,0,0,0.4166666666666661
20,12.333333333333332,0.2777777777777768,12.333333333333332,0,0,0.33333333333333304
21,12.722222222222221,0.3888888888888893,12.722222222222221,0,0,0.4027777777777777
22,13.138888888888888,0.4166666666666661,13.138888888888888,0,0,0.3472222222222223
23,13.416666666666666,0.27777777777777857,13.416666666666666,0,0,0.2777777777777777
24,13.694444444444443,0.2777777777777768,13.694444444444443,0,0,0.20833333333333304
25,13.833333333333332,0.13888888888888928,13.833333333333332,0,0,0.0
26,13.694444444444443,-0.13888888888888928,13.694444444444443,0,0,-0.4861111111111107
27,12.86111111111111,-0.8333333333333321,12.86111111111111,0,0,-0.958333333333333
28,11.777777777777777,-1.083333333333334,11.777777777777777,0,0,-1.0972222222222223
29,10.666666666666666,-1.1111111111111107,10.666666666666666,0,0,-1.0972222222222214
30,9.583333333333334,-1.0833333333333321,9.583333333333334,0,0,-1.3611111111111107
31,7.944444444444445,-1.6388888888888893,7.944444444444445,0,0,-1.375
32,6.833333333333334,-1.1111111111111107,6.833333333333334,0,0,-0.9583333333333335
33,6.027777777777778,-0.8055555555555562,6.027777777777778,0,0,-0.6805555555555558
34,5.472222222222222,-0.5555555555555554,5.472222222222222,0,0,-0.48611111111111116
35,5.055555555555555,-0.41666666666666696,5.055555555555555,0,0,-0.13888888888888928
36,5.194444444444444,0.1388888888888884,5.194444444444444,0,0,0.2777777777777777
37,5.611111111111111,0.41666666666666696,5.611111111111111,0,0,0.625
38,6.444444444444444,0.833333333333333,6.444444444444444,0,0,0.7500000000000004
39,7.111111111111112,0.6666666666666679,7.111111111111112,0,0,0.9583333333333335
40,8.36111111111111,1.2499999999999991,8.36111111111111,0,0,1.0972222222222219
41,9.305555555555555,0.9444444444444446,9.305555555555555,0,0,1.083333333333333
42,10.527777777777777,1.2222222222222214,10.527777777777777,0,0,0.6111111111111107
43,10.527777777777777,0.0,10.527777777777777,0,0,0.20833333333333393
