t,v,a,dS,alpha,h,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.0
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.0
15,0.0,0.0,0.0,0,0,0.0
16,0.0,0.0,0.0,0,0,0.0
17,0.0,0.0,0.0,0,0,0.0
18,0.0,0.0,0.0,0,0,0.0
19,0.0,0.0,0.0,0,0,0.0
20,0.0,0.0,0.0,0,0,0.09722222222222221
21,0.19444444444444442,0.19444444444444442,0.19444444444444442,0,0,0.2916666666666667
22,0.5833333333333334,0.38888888888888895,0.5833333333333334,0,0,1.1805555555555554
23,2.5555555555555554,1.9722222222222219,2.5555555555555554,0,0,1.8749999999999998
24,4.333333333333333,1.7777777777777777,4.333333333333333,0,0,1.4722222222222223
25,5.5,1.166666666666667,5.5,0,0,0.5833333333333335
26,5.5,0.0,5.5,0,0,0.4027777777777777
27,6.305555555555555,0.8055555555555554,6.305555555555555,0,0,0.7916666666666665
28,7.083333333333333,0.7777777777777777,7.083333333333333,0,0,0.9861111111111116
29,8.277777777777779,1.1944444444444455,8.277777777777779,0,0,1.1805555555555558
30,9.444444444444445,1.166666666666666,9.444444444444445,0,0,0.9861111111111107
31,10.25,0.8055555555555554,10.25,0,0,0.5972222222222214
32,10.638888888888888,0.3888888888888875,10.638888888888888,0,0,0.4861111111111107
33,11.222222222222221,0.5833333333333339,11.222222222222221,0,0,0.6805555555555562
34,12.0,0.7777777777777786,12.0,0,0,0.791666666666667
35,12.805555555555555,0.8055555555555554,12.805555555555555,0,0,0.4027777777777777
36,12.805555555555555,0.0,12.805555555555555,0,0,0.0
37,12.805555555555555,0.0,12.805555555555555,0,0,-0.20833333333333304
38,12.38888888888889,-0.4166666666666661,12.38888888888889,0,0,0.0
39,12.805555555555555,0.4166666666666661,12.805555555555555,0,0,0.5
40,13.38888888888889,0.5833333333333339,13.38888888888889,0,0,0.3888888888888884
41,13.583333333333332,0.19444444444444287,13.583333333333332,0,0,0.0
42,13.38888888888889,-0.19444444444444287,13.38888888888889,0,0,-0.29166666666666696
43,12.999999999999998,-0.38888888888889106,12.999999999999998,0,0,-0.5
44,12.38888888888889,-0.6111111111111089,12.38888888888889,0,0,-0.5972222222222214
45,11.805555555555555,-0.5833333333333339,11.805555555555555,0,0,-0.3888888888888893
46,11.61111111111111,-0.19444444444444464,11.61111111111111,0,0,-0.19444444444444464
47,11.416666666666666,-0.19444444444444464,11.416666666666666,0,0,-0.2916666666666661
48,11.027777777777779,-0.3888888888888875,11.027777777777779,0,0,-0.6944444444444438
49,10.027777777777779,-1.0,10.027777777777779,0,0,-0.6944444444444446
50,9.63888888888889,-0.3888888888888893,9.63888888888889,0,0,-0.19444444444444464
