t,v,a,dS,h,alpha
0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0,0
10,0.0,0.0,0.0,0,0
11,0.0,0.0,0.0,0,0
12,1.0416666666666667,1.0416666666666667,12.5,0,0
13,2.0833333333333335,1.0416666666666667,27.083333333333336,0,0
14,3.125,1.0416666666666665,43.75,0,0
15,4.166666666666667,1.041666666666667,62.50000000000001,0,0
16,4.166666666666667,0.0,66.66666666666667,0,0
17,4.166666666666667,0.0,70.83333333333334,0,0
18,4.166666666666667,0.0,75.0,0,0
19,4.166666666666667,0.0,79.16666666666667,0,0
20,4.166666666666667,0.0,83.33333333333334,0,0
21,4.166666666666667,0.0,87.5,0,0
22,4.166666666666667,0.0,91.66666666666667,0,0
23,4.166666666666667,0.0,95.83333333333334,0,0
24,3.333333333333334,-0.833333333333333,80.00000000000001,0,0
25,2.5,-0.8333333333333339,62.5,0,0
26,1.666666666666667,-0.833333333333333,43.33333333333334,0,0
27,0.8333333333333333,-0.8333333333333337,22.499999999999996,0,0
28,0.0,-0.8333333333333333,0.0,0,0
29,0.0,0.0,0.0,0,0
30,0.0,0.0,0.0,0,0
31,0.0,0.0,0.0,0,0
32,0.0,0.0,0.0,0,0
33,0.0,0.0,0.0,0,0
34,0.0,0.0,0.0,0,0
35,0.0,0.0,0.0,0,0
36,0.0,0.0,0.0,0,0
37,0.0,0.0,0.0,0,0
38,0.0,0.0,0.0,0,0
39,0.0,0.0,0.0,0,0
40,0.0,0.0,0.0,0,0
41,0.0,0.0,0.0,0,0
42,0.0,0.0,0.0,0,0
43,0.0,0.0,0.0,0,0
44,0.0,0.0,0.0,0,0
45,0.0,0.0,0.0,0,0
46,0.0,0.0,0.0,0,0
47,0.0,0.0,0.0,0,0
48,0.0,0.0,0.0,0,0
49,0.0,0.0,0.0,0,0
50,0.6944444444444444,0.6944444444444444,34.72222222222222,0,0
51,1.3888888888888888,0.6944444444444444,70.83333333333333,0,0
52,2.0833333333333335,0.6944444444444446,108.33333333333334,0,0
53,2.7777777777777777,0.6944444444444442,147.22222222222223,0,0
54,3.4722222222222228,0.6944444444444451,187.50000000000003,0,0
55,4.166666666666667,0.6944444444444442,229.16666666666669,0,0
56,4.953703703703704,0.7870370370370372,277.40740740740745,0,0
57,5.7407407407407405,0.7870370370370363,327.22222222222223,0,0
58,6.527777777777779,0.7870370370370381,378.61111111111114,0,0
59,7.314814814814815,0.7870370370370363,431.5740740740741,0,0
60,8.101851851851853,0.7870370370370381,486.1111111111112,0,0
