t,v,a,dS,alpha,h,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.0
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.0
15,0.0,0.0,0.0,0,0,0.0
16,0.0,0.0,0.0,0,0,0.0
17,0.0,0.0,0.0,0,0,0.0
18,0.0,0.0,0.0,0,0,0.0
19,0.0,0.0,0.0,0,0,0.0
20,0.0,0.0,0.0,0,0,0.67056
21,1.34112,1.34112,1.34112,0,0,1.3187680000000002
22,2.6375360000000003,1.2964160000000002,2.6375360000000003,0,0,1.251712
23,3.844544,1.2070079999999996,3.844544,0,0,1.2517119999999997
24,5.14096,1.2964159999999998,5.14096,0,0,1.274064
25,6.392672,1.2517120000000004,6.392672,0,0,1.2070079999999996
26,7.554975999999999,1.162303999999999,7.554975999999999,0,0,0.67056
27,7.733792,0.1788160000000012,7.733792,0,0,0.26822400000000046
28,8.091424,0.35763199999999973,8.091424,0,0,0.7599679999999993
29,9.253727999999999,1.162303999999999,9.253727999999999,0,0,0.804672
30,9.700768,0.4470400000000012,9.700768,0,0,0.3799840000000003
31,10.013696,0.31292799999999943,10.013696,0,0,0.1788160000000003
32,10.0584,0.04470400000000119,10.0584,0,0,-0.06705599999999912
33,9.879584000000001,-0.17881599999999942,9.879584000000001,0,0,-0.2235200000000006
34,9.61136,-0.2682240000000018,9.61136,0,0,-0.2682240000000009
35,9.343136,-0.268224,9.343136,0,0,-0.2458720000000003
36,9.119615999999999,-0.2235200000000006,9.119615999999999,0,0,-0.24587199999999942
37,8.851392,-0.26822399999999824,8.851392,0,0,-0.7599679999999993
38,7.59968,-1.2517120000000004,7.59968,0,0,-1.0952480000000002
39,6.660896,-0.9387840000000001,6.660896,0,0,-0.46939200000000003
40,6.660896,0.0,6.660896,0,0,0.06705599999999956
41,6.795007999999999,0.13411199999999912,6.795007999999999,0,0,0.134112
42,6.92912,0.1341120000000009,6.92912,0,0,0.1788160000000003
43,7.15264,0.22351999999999972,7.15264,0,0,0.35763200000000017
44,7.6443840000000005,0.4917440000000006,7.6443840000000005,0,0,0.6929120000000006
45,8.538464000000001,0.8940800000000007,8.538464000000001,0,0,0.8940799999999998
46,9.432544,0.8940799999999989,9.432544,0,0,0.8046719999999992
47,10.147808,0.7152639999999995,10.147808,0,0,0.40233599999999914
48,10.237215999999998,0.08940799999999882,10.237215999999998,0,0,0.0
49,10.147808,-0.08940799999999882,10.147808,0,0,-0.06705599999999912
50,10.103104,-0.04470399999999941,10.103104,0,0,-0.31292799999999943
51,9.521952,-0.5811519999999994,9.521952,0,0,-0.804672
52,8.49376,-1.0281920000000007,8.49376,0,0,-0.9387840000000001
53,7.6443840000000005,-0.8493759999999995,7.6443840000000005,0,0,-0.7152639999999999
