t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.44704
3,0.89408,0.89408,0.89408,0,0,1.095248
4,2.190496,1.296416,2.190496,0,0,1.3634719999999998
5,3.621024,1.4305279999999998,3.621024,0,0,1.430528
6,5.051552,1.4305280000000002,5.051552,0,0,1.430528
7,6.48208,1.4305280000000002,6.48208,0,0,1.34112
8,7.733792,1.251712,7.733792,0,0,1.139952
9,8.761984,1.0281919999999998,8.761984,0,0,1.0058399999999996
10,9.745472,0.9834879999999993,9.745472,0,0,0.9834880000000004
11,10.72896,0.9834880000000013,10.72896,0,0,0.8940800000000007
12,11.533632,0.8046720000000008,11.533632,0,0,0.6929119999999998
13,12.114784,0.5811519999999998,12.114784,0,0,0.49174399999999974
14,12.51712,0.4023359999999994,12.51712,0,0,0.42468799999999973
15,12.96416,0.44704,12.96416,0,0,0.44703999999999944
16,13.4112,0.44703999999999805,13.4112,0,0,0.3799840000000003
17,13.724128,0.3129280000000022,13.724128,0,0,0.33528
18,14.08176,0.35763199999999884,14.08176,0,0,0.33528
19,14.394688,0.3129280000000002,14.394688,0,0,0.3129280000000003
20,14.707616,0.3129280000000002,14.707616,0,0,0.2905759999999997
21,14.97584,0.26822399999999963,14.97584,0,0,0.268224
22,15.244064,0.26822399999999963,15.244064,0,0,0.2458720000000003
23,15.467584,0.223520000000001,15.467584,0,0,0.17881599999999942
24,15.601695999999999,0.13411199999999784,15.601695999999999,0,0,0.1117600000000003
25,15.691104000000001,0.08940800000000317,15.691104000000001,0,0,0.1788160000000012
26,15.959328000000001,0.26822399999999963,15.959328000000001,0,0,0.17881599999999853
27,16.048735999999998,0.08940799999999724,16.048735999999998,0,0,0.022351999999998817
28,16.004032,-0.04470399999999862,16.004032,0,0,-0.134112
29,15.780511999999998,-0.223520000000001,15.780511999999998,0,0,-0.201168
30,15.601695999999999,-0.1788160000000004,15.601695999999999,0,0,-0.17881599999999942
31,15.42288,-0.17881599999999842,15.42288,0,0,-0.06705599999999912
32,15.467584,0.0447040000000006,15.467584,0,0,0.067056
33,15.556992,0.08940799999999921,15.556992,0,0,0.1117600000000003
34,15.691104000000001,0.13411200000000179,15.691104000000001,0,0,0.2011680000000009
35,15.959328000000001,0.26822399999999963,15.959328000000001,0,0,0.22351999999999972
