a,alpha,h,t,v
0.0,0,0,0,0.0
0.0,0,0,1,0.0
0.0,0,0,2,0.0
0.0,0,0,3,0.0
0.0,0,0,4,0.0
0.0,0,0,5,0.0
0.0,0,0,6,0.0
0.0,0,0,7,0.0
0.0,0,0,8,0.0
0.0,0,0,9,0.0
0.0,0,0,10,0.0
0.0,0,0,11,0.0
1.0416666666666667,0,0,12,1.0416666666666667
1.0416666666666667,0,0,13,2.0833333333333335
1.0416666666666665,0,0,14,3.125
1.041666666666667,0,0,15,4.166666666666667
0.0,0,0,16,4.166666666666667
0.0,0,0,17,4.166666666666667
0.0,0,0,18,4.166666666666667
0.0,0,0,19,4.166666666666667
0.0,0,0,20,4.166666666666667
0.0,0,0,21,4.166666666666667
0.0,0,0,22,4.166666666666667
0.0,0,0,23,4.166666666666667
-0.833333333333333,0,0,24,3.333333333333334
-0.8333333333333339,0,0,25,2.5
-0.833333333333333,0,0,26,1.666666666666667
-0.8333333333333337,0,0,27,0.8333333333333333
-0.8333333333333333,0,0,28,0.0
0.0,0,0,29,0.0
0.0,0,0,30,0.0
0.0,0,0,31,0.0
0.0,0,0,32,0.0
0.0,0,0,33,0.0
0.0,0,0,34,0.0
0.0,0,0,35,0.0
0.0,0,0,36,0.0
0.0,0,0,37,0.0
0.0,0,0,38,0.0
0.0,0,0,39,0.0
0.0,0,0,40,0.0
0.0,0,0,41,0.0
0.0,0,0,42,0.0
0.0,0,0,43,0.0
0.0,0,0,44,0.0
0.0,0,0,45,0.0
0.0,0,0,46,0.0
0.0,0,0,47,0.0
0.0,0,0,48,0.0
0.0,0,0,49,0.0
0.6944444444444444,0,0,50,0.6944444444444444
0.6944444444444444,0,0,51,1.3888888888888888
0.6944444444444446,0,0,52,2.0833333333333335
0.6944444444444442,0,0,53,2.7777777777777777
0.6944444444444451,0,0,54,3.4722222222222228
0.6944444444444442,0,0,55,4.166666666666667
0.7870370370370372,0,0,56,4.953703703703704
0.7870370370370363,0,0,57,5.7407407407407405
0.7870370370370381,0,0,58,6.527777777777779
0.7870370370370363,0,0,59,7.314814814814815
0.7870370370370381,0,0,60,8.101851851851853
0.7870370370370363,0,0,61,8.88888888888889
0.0,0,0,62,8.88888888888889
0.0,0,0,63,8.88888888888889
0.0,0,0,64,8.88888888888889
0.0,0,0,65,8.88888888888889
0.0,0,0,66,8.88888888888889
0.0,0,0,67,8.88888888888889
0.0,0,0,68,8.88888888888889
0.0,0,0,69,8.88888888888889
0.0,0,0,70,8.88888888888889
0.0,0,0,71,8.88888888888889
0.0,0,0,72,8.88888888888889
0.0,0,0,73,8.88888888888889
0.0,0,0,74,8.88888888888889
0.0,0,0,75,8.88888888888889
0.0,0,0,76,8.88888888888889
0.0,0,0,77,8.88888888888889
0.0,0,0,78,8.88888888888889
0.0,0,0,79,8.88888888888889
0.0,0,0,80,8.88888888888889
0.0,0,0,81,8.88888888888889
0.0,0,0,82,8.88888888888889
0.0,0,0,83,8.88888888888889
0.0,0,0,84,8.88888888888889
0.0,0,0,85,8.88888888888889
-0.808080808080808,0,0,86,8.080808080808081
-0.8080808080808088,0,0,87,7.2727272727272725
-0.8080808080808071,0,0,88,6.464646464646465
-0.8080808080808088,0,0,89,5.656565656565657
-0.808080808080808,0,0,90,4.848484848484849
-0.808080808080808,0,0,91,4.040404040404041
-0.808080808080808,0,0,92,3.2323232323232327
-0.8080808080808084,0,0,93,2.4242424242424243
-0.8080808080808086,0,0,94,1.6161616161616157
-0.8080808080808073,0,0,95,0.8080808080808084
-0.8080808080808084,0,0,96,0.0
0.0,0,0,97,0.0
0.0,0,0,98,0.0
0.0,0,0,99,0.0
0.0,0,0,100,0.0
0.0,0,0,101,0.0
0.0,0,0,102,0.0
0.0,0,0,103,0.0
0.0,0,0,104,0.0
0.0,0,0,105,0.0
0.0,0,0,106,0.0
0.0,0,0,107,0.0
0.0,0,0,108,0.0
0.0,0,0,109,0.0
0.0,0,0,110,0.0
0.0,0,0,111,0.0
0.0,0,0,112,0.0
0.0,0,0,113,0.0
0.0,0,0,114,0.0
0.0,0,0,115,0.0
0.0,0,0,116,0.0
0.0,0,0,117,0.0
0.6944444444444444,0,0,118,0.6944444444444444
0.6944444444444444,0,0,119,1.3888888888888888
0.6944444444444446,0,0,120,2.0833333333333335
0.6944444444444442,0,0,121,2.7777777777777777
0.6944444444444451,0,0,122,3.4722222222222228
0.6944444444444442,0,0,123,4.166666666666667
0.5050505050505052,0,0,124,4.671717171717172
0.5050505050505043,0,0,125,5.1767676767676765
0.5050505050505052,0,0,126,5.681818181818182
0.5050505050505052,0,0,127,6.186868686868687
0.5050505050505052,0,0,128,6.691919191919192
0.5050505050505043,0,0,129,7.196969696969696
0.5050505050505052,0,0,130,7.7020202020202015
0.5050505050505043,0,0,131,8.207070707070706
0.5050505050505052,0,0,132,8.712121212121211
0.5050505050505052,0,0,133,9.217171717171716
0.5050505050505052,0,0,134,9.722222222222221
0.4629629629629637,0,0,135,10.185185185185185
0.4629629629629619,0,0,136,10.648148148148147
0.4629629629629637,0,0,137,11.11111111111111
0.4629629629629619,0,0,138,11.574074074074073
0.46296296296296546,0,0,139,12.037037037037038
0.4629629629629619,0,0,140,12.5
0.4629629629629637,0,0,141,12.962962962962964
0.4629629629629619,0,0,142,13.425925925925926
0.4629629629629637,0,0,143,13.88888888888889
0.0,0,0,144,13.88888888888889
0.0,0,0,145,13.88888888888889
0.0,0,0,146,13.88888888888889
0.0,0,0,147,13.88888888888889
0.0,0,0,148,13.88888888888889
0.0,0,0,149,13.88888888888889
0.0,0,0,150,13.88888888888889
0.0,0,0,151,13.88888888888889
0.0,0,0,152,13.88888888888889
0.0,0,0,153,13.88888888888889
0.0,0,0,154,13.88888888888889
0.0,0,0,155,13.88888888888889
-0.5208333333333321,0,0,156,13.368055555555557
-0.5208333333333339,0,0,157,12.847222222222223
-0.5208333333333339,0,0,158,12.32638888888889
-0.5208333333333339,0,0,159,11.805555555555555
-0.5208333333333339,0,0,160,11.284722222222221
-0.5208333333333321,0,0,161,10.76388888888889
-0.5208333333333357,0,0,162,10.243055555555554
-0.5208333333333321,0,0,163,9.722222222222221
0.0,0,0,164,9.722222222222221
0.0,0,0,165,9.722222222222221
0.0,0,0,166,9.722222222222221
0.0,0,0,167,9.722222222222221
0.0,0,0,168,9.722222222222221
0.0,0,0,169,9.722222222222221
0.0,0,0,170,9.722222222222221
0.0,0,0,171,9.722222222222221
0.0,0,0,172,9.722222222222221
0.0,0,0,173,9.722222222222221
0.0,0,0,174,9.722222222222221
0.0,0,0,175,9.722222222222221
0.0,0,0,176,9.722222222222221
0.0,0,0,177,9.722222222222221
0.0,0,0,178,9.722222222222221
-0.9722222222222214,0,0,179,8.75
-0.9722222222222223,0,0,180,7.777777777777778
-0.9722222222222232,0,0,181,6.8055555555555545
-0.9722222222222214,0,0,182,5.833333333333333
-0.9722222222222223,0,0,183,4.861111111111111
-0.9722222222222219,0,0,184,3.888888888888889
-0.9722222222222219,0,0,185,2.916666666666667
-0.9722222222222232,0,0,186,1.9444444444444438
-0.9722222222222219,0,0,187,0.9722222222222219
-0.9722222222222219,0,0,188,0.0
0.0,0,0,189,0.0
0.0,0,0,190,0.0
0.0,0,0,191,0.0
0.0,0,0,192,0.0
0.0,0,0,193,0.0
0.0,0,0,194,0.0
0.0,0,0,195,0.0
0.0,0,0,196,0.0
0.0,0,0,197,0.0
0.0,0,0,198,0.0
0.0,0,0,199,0.0
0.0,0,0,200,0.0
0.0,0,0,201,0.0
0.0,0,0,202,0.0
0.0,0,0,203,0.0
0.0,0,0,204,0.0
0.0,0,0,205,0.0
0.0,0,0,206,0.0
1.0416666666666667,0,0,207,1.0416666666666667
1.0416666666666667,0,0,208,2.0833333333333335
1.0416666666666665,0,0,209,3.125
1.041666666666667,0,0,210,4.166666666666667
0.0,0,0,211,4.166666666666667
0.0,0,0,212,4.166666666666667
0.0,0,0,213,4.166666666666667
0.0,0,0,214,4.166666666666667
0.0,0,0,215,4.166666666666667
0.0,0,0,216,4.166666666666667
0.0,0,0,217,4.166666666666667
0.0,0,0,218,4.166666666666667
-0.833333333333333,0,0,219,3.333333333333334
-0.8333333333333339,0,0,220,2.5
-0.833333333333333,0,0,221,1.666666666666667
-0.8333333333333337,0,0,222,0.8333333333333333
-0.8333333333333333,0,0,223,0.0
0.0,0,0,224,0.0
0.0,0,0,225,0.0
0.0,0,0,226,0.0
0.0,0,0,227,0.0
0.0,0,0,228,0.0
0.0,0,0,229,0.0
0.0,0,0,230,0.0
0.0,0,0,231,0.0
0.0,0,0,232,0.0
0.0,0,0,233,0.0
0.0,0,0,234,0.0
0.0,0,0,235,0.0
0.0,0,0,236,0.0
0.0,0,0,237,0.0
0.0,0,0,238,0.0
0.0,0,0,239,0.0
0.0,0,0,240,0.0
0.0,0,0,241,0.0
0.0,0,0,242,0.0
0.0,0,0,243,0.0
0.0,0,0,244,0.0
0.6944444444444444,0,0,245,0.6944444444444444
0.6944444444444444,0,0,246,1.3888888888888888
0.6944444444444446,0,0,247,2.0833333333333335
0.6944444444444442,0,0,248,2.7777777777777777
0.6944444444444451,0,0,249,3.4722222222222228
0.6944444444444442,0,0,250,4.166666666666667
0.7870370370370372,0,0,251,4.953703703703704
0.7870370370370363,0,0,252,5.7407407407407405
0.7870370370370381,0,0,253,6.527777777777779
0.7870370370370363,0,0,254,7.314814814814815
0.7870370370370381,0,0,255,8.101851851851853
0.7870370370370363,0,0,256,8.88888888888889
0.0,0,0,257,8.88888888888889
0.0,0,0,258,8.88888888888889
0.0,0,0,259,8.88888888888889
0.0,0,0,260,8.88888888888889
0.0,0,0,261,8.88888888888889
0.0,0,0,262,8.88888888888889
0.0,0,0,263,8.88888888888889
0.0,0,0,264,8.88888888888889
0.0,0,0,265,8.88888888888889
0.0,0,0,266,8.88888888888889
0.0,0,0,267,8.88888888888889
0.0,0,0,268,8.88888888888889
0.0,0,0,269,8.88888888888889
0.0,0,0,270,8.88888888888889
0.0,0,0,271,8.88888888888889
0.0,0,0,272,8.88888888888889
0.0,0,0,273,8.88888888888889
0.0,0,0,274,8.88888888888889
0.0,0,0,275,8.88888888888889
0.0,0,0,276,8.88888888888889
0.0,0,0,277,8.88888888888889
0.0,0,0,278,8.88888888888889
0.0,0,0,279,8.88888888888889
0.0,0,0,280,8.88888888888889
-0.808080808080808,0,0,281,8.080808080808081
-0.8080808080808088,0,0,282,7.2727272727272725
-0.8080808080808071,0,0,283,6.464646464646465
-0.8080808080808088,0,0,284,5.656565656565657
-0.808080808080808,0,0,285,4.848484848484849
-0.808080808080808,0,0,286,4.040404040404041
-0.808080808080808,0,0,287,3.2323232323232327
-0.8080808080808084,0,0,288,2.4242424242424243
-0.8080808080808086,0,0,289,1.6161616161616157
-0.8080808080808073,0,0,290,0.8080808080808084
-0.8080808080808084,0,0,291,0.0
0.0,0,0,292,0.0
0.0,0,0,293,0.0
0.0,0,0,294,0.0
0.0,0,0,295,0.0
0.0,0,0,296,0.0
0.0,0,0,297,0.0
0.0,0,0,298,0.0
0.0,0,0,299,0.0
0.0,0,0,300,0.0
0.0,0,0,301,0.0
0.0,0,0,302,0.0
0.0,0,0,303,0.0
0.0,0,0,304,0.0
0.0,0,0,305,0.0
0.0,0,0,306,0.0
0.0,0,0,307,0.0
0.0,0,0,308,0.0
0.0,0,0,309,0.0
0.0,0,0,310,0.0
0.0,0,0,311,0.0
0.0,0,0,312,0.0
0.6944444444444444,0,0,313,0.6944444444444444
0.6944444444444444,0,0,314,1.3888888888888888
0.6944444444444446,0,0,315,2.0833333333333335
0.6944444444444442,0,0,316,2.7777777777777777
0.6944444444444451,0,0,317,3.4722222222222228
0.6944444444444442,0,0,318,4.166666666666667
0.5050505050505052,0,0,319,4.671717171717172
0.5050505050505043,0,0,320,5.1767676767676765
0.5050505050505052,0,0,321,5.681818181818182
0.5050505050505052,0,0,322,6.186868686868687
0.5050505050505052,0,0,323,6.691919191919192
0.5050505050505043,0,0,324,7.196969696969696
0.5050505050505052,0,0,325,7.7020202020202015
0.5050505050505043,0,0,326,8.207070707070706
0.5050505050505052,0,0,327,8.712121212121211
0.5050505050505052,0,0,328,9.217171717171716
0.5050505050505052,0,0,329,9.722222222222221
0.4629629629629637,0,0,330,10.185185185185185
0.4629629629629619,0,0,331,10.648148148148147
0.4629629629629637,0,0,332,11.11111111111111
0.4629629629629619,0,0,333,11.574074074074073
0.46296296296296546,0,0,334,12.037037037037038
0.4629629629629619,0,0,335,12.5
0.4629629629629637,0,0,336,12.962962962962964
0.4629629629629619,0,0,337,13.425925925925926
0.4629629629629637,0,0,338,13.88888888888889
0.0,0,0,339,13.88888888888889
0.0,0,0,340,13.88888888888889
0.0,0,0,341,13.88888888888889
0.0,0,0,342,13.88888888888889
0.0,0,0,343,13.88888888888889
0.0,0,0,344,13.88888888888889
0.0,0,0,345,13.88888888888889
0.0,0,0,346,13.88888888888889
0.0,0,0,347,13.88888888888889
0.0,0,0,348,13.88888888888889
0.0,0,0,349,13.88888888888889
0.0,0,0,350,13.88888888888889
-0.5208333333333321,0,0,351,13.368055555555557
-0.5208333333333339,0,0,352,12.847222222222223
-0.5208333333333339,0,0,353,12.32638888888889
-0.5208333333333339,0,0,354,11.805555555555555
-0.5208333333333339,0,0,355,11.284722222222221
-0.5208333333333321,0,0,356,10.76388888888889
-0.5208333333333357,0,0,357,10.243055555555554
-0.5208333333333321,0,0,358,9.722222222222221
0.0,0,0,359,9.722222222222221
0.0,0,0,360,9.722222222222221
0.0,0,0,361,9.722222222222221
0.0,0,0,362,9.722222222222221
0.0,0,0,363,9.722222222222221
0.0,0,0,364,9.722222222222221
0.0,0,0,365,9.722222222222221
0.0,0,0,366,9.722222222222221
0.0,0,0,367,9.722222222222221
0.0,0,0,368,9.722222222222221
0.0,0,0,369,9.722222222222221
0.0,0,0,370,9.722222222222221
0.0,0,0,371,9.722222222222221
0.0,0,0,372,9.722222222222221
0.0,0,0,373,9.722222222222221
-0.9722222222222214,0,0,374,8.75
-0.9722222222222223,0,0,375,7.777777777777778
-0.9722222222222232,0,0,376,6.8055555555555545
-0.9722222222222214,0,0,377,5.833333333333333
-0.9722222222222223,0,0,378,4.861111111111111
-0.9722222222222219,0,0,379,3.888888888888889
-0.9722222222222219,0,0,380,2.916666666666667
-0.9722222222222232,0,0,381,1.9444444444444438
