t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.06705599999999999
7,0.13411199999999998,0.13411199999999998,0.13411199999999998,0,0,0.0
8,0.0,-0.13411199999999998,0.0,0,0,-0.02235199999999999
9,0.089408,0.089408,0.089408,0,0,0.06705599999999999
10,0.13411199999999998,0.04470399999999998,0.13411199999999998,0,0,-0.044704
11,0.0,-0.13411199999999998,0.0,0,0,-0.06705599999999999
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.0
15,0.0,0.0,0.0,0,0,0.0
16,0.0,0.0,0.0,0,0,0.0
17,0.0,0.0,0.0,0,0,0.0
18,0.0,0.0,0.0,0,0,0.0
19,0.0,0.0,0.0,0,0,0.0
20,0.0,0.0,0.0,0,0,0.0
21,0.0,0.0,0.0,0,0,0.0
22,0.0,0.0,0.0,0,0,0.0
23,0.0,0.0,0.0,0,0,0.0
24,0.0,0.0,0.0,0,0,0.0
25,0.0,0.0,0.0,0,0,0.0
26,0.0,0.0,0.0,0,0,0.022352
27,0.044704,0.044704,0.044704,0,0,0.044704
28,0.089408,0.044704,0.089408,0,0,-0.022352
29,0.0,-0.089408,0.0,0,0,-0.044704
30,0.0,0.0,0.0,0,0,0.0
31,0.0,0.0,0.0,0,0,0.0
32,0.0,0.0,0.0,0,0,0.0
33,0.0,0.0,0.0,0,0,0.0
34,0.0,0.0,0.0,0,0,0.0
35,0.0,0.0,0.0,0,0,0.0
36,0.0,0.0,0.0,0,0,0.0
37,0.0,0.0,0.0,0,0,0.0
38,0.0,0.0,0.0,0,0,0.0
39,0.0,0.0,0.0,0,0,0.0
40,0.0,0.0,0.0,0,0,0.0
41,0.0,0.0,0.0,0,0,0.0
42,0.0,0.0,0.0,0,0,0.0
43,0.0,0.0,0.0,0,0,0.0
44,0.0,0.0,0.0,0,0,0.0
45,0.0,0.0,0.0,0,0,0.0
46,0.0,0.0,0.0,0,0,0.089408
47,0.178816,0.178816,0.178816,0,0,0.625856
48,1.251712,1.0728959999999998,1.251712,0,0,1.162304
