t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.0
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.0
15,0.0,0.0,0.0,0,0,0.0
16,0.0,0.0,0.0,0,0,0.0
17,0.0,0.0,0.0,0,0,0.0
18,0.0,0.0,0.0,0,0,0.201168
19,0.402336,0.402336,0.402336,0,0,0.67056
20,1.34112,0.9387840000000001,1.34112,0,0,0.44704
21,1.296416,-0.04470400000000008,1.296416,0,0,0.0670559999999999
22,1.4752319999999999,0.17881599999999986,1.4752319999999999,0,0,0.134112
23,1.56464,0.08940800000000015,1.56464,0,0,-0.24587199999999992
24,0.983488,-0.581152,0.983488,0,0,-0.46939200000000003
25,0.625856,-0.35763200000000006,0.625856,0,0,-0.491744
26,0.0,-0.625856,0.0,0,0,-0.312928
27,0.0,0.0,0.0,0,0,0.0
28,0.0,0.0,0.0,0,0,0.0
29,0.0,0.0,0.0,0,0,0.0
30,0.0,0.0,0.0,0,0,0.0
31,0.0,0.0,0.0,0,0,0.0
32,0.0,0.0,0.0,0,0,0.089408
33,0.178816,0.178816,0.178816,0,0,0.7376159999999999
34,1.4752319999999999,1.2964159999999998,1.4752319999999999,0,0,1.2517120000000002
35,2.68224,1.2070080000000003,2.68224,0,0,1.050544
36,3.57632,0.8940799999999998,3.57632,0,0,0.6035039999999998
37,3.889248,0.3129279999999999,3.889248,0,0,0.4470399999999999
38,4.4704,0.5811519999999999,4.4704,0,0,0.827024
39,5.543296,1.072896,5.543296,0,0,0.8493760000000004
40,6.169152,0.6258560000000006,6.169152,0,0,0.5140959999999999
41,6.5714879999999996,0.40233599999999914,6.5714879999999996,0,0,0.22351999999999972
42,6.616192,0.0447040000000003,6.616192,0,0,0.4246880000000006
43,7.420864000000001,0.8046720000000009,7.420864000000001,0,0,0.7823200000000003
