t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.0
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.0
15,0.0,0.0,0.0,0,0,0.0
16,0.0,0.0,0.0,0,0,0.0
17,0.0,0.0,0.0,0,0,0.0
18,0.0,0.0,0.0,0,0,0.0
19,0.0,0.0,0.0,0,0,0.0
20,0.0,0.0,0.0,0,0,0.0
21,0.0,0.0,0.0,0,0,0.0
22,0.0,0.0,0.0,0,0,0.0
23,0.0,0.0,0.0,0,0,0.0
24,0.0,0.0,0.0,0,0,0.0
25,0.0,0.0,0.0,0,0,0.0
26,0.0,0.0,0.0,0,0,0.0
27,0.0,0.0,0.0,0,0,0.0
28,0.0,0.0,0.0,0,0,0.0
29,0.0,0.0,0.0,0,0,0.26666666666666666
30,0.5333333333333333,0.5333333333333333,0.5333333333333333,0,0,0.9333333333333333
31,1.8666666666666667,1.3333333333333335,1.8666666666666667,0,0,1.3555555555555556
32,3.2444444444444445,1.3777777777777775,3.2444444444444445,0,0,1.0222222222222224
33,3.9111111111111114,0.6666666666666673,3.9111111111111114,0,0,0.7777777777777777
34,4.8,0.8888888888888886,4.8,0,0,0.7777777777777781
35,5.466666666666668,0.6666666666666673,5.466666666666668,0,0,0.5111111111111111
36,5.822222222222222,0.3555555555555549,5.822222222222222,0,0,0.0
37,5.466666666666668,-0.3555555555555549,5.466666666666668,0,0,-0.17777777777777715
38,5.466666666666668,0.0,5.466666666666668,0,0,-0.17777777777777803
39,5.111111111111112,-0.35555555555555585,5.111111111111112,0,0,-0.17777777777777803
40,5.111111111111112,0.0,5.111111111111112,0,0,-0.08888888888888902
41,4.933333333333334,-0.17777777777777792,4.933333333333334,0,0,-0.08888888888888902
42,4.933333333333334,0.0,4.933333333333334,0,0,0.0
