t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.044704
6,0.089408,0.089408,0.089408,0,0,0.156464
7,0.312928,0.22352,0.312928,0,0,0.201168
8,0.491744,0.17881600000000003,0.491744,0,0,0.22352
9,0.759968,0.26822399999999996,0.759968,0,0,1.095248
10,2.68224,1.9222720000000002,2.68224,0,0,2.726944
11,6.213856,3.5316159999999996,6.213856,0,0,3.24104
12,9.16432,2.950464,9.16432,0,0,2.637536
13,11.488928,2.3246079999999996,11.488928,0,0,1.00584
14,11.176,-0.31292799999999943,11.176,0,0,0.603504
15,12.695936,1.5199359999999995,12.695936,0,0,1.631695999999999
16,14.439391999999998,1.7434559999999983,14.439391999999998,0,0,1.3858240000000004
17,15.467584,1.0281920000000024,15.467584,0,0,0.9387840000000001
18,16.316959999999998,0.8493759999999977,16.316959999999998,0,0,0.8493759999999986
19,17.166335999999998,0.8493759999999995,17.166335999999998,0,0,0.7599680000000006
20,17.836896,0.6705600000000018,17.836896,0,0,0.8493760000000012
21,18.865088,1.0281920000000007,18.865088,0,0,0.8717279999999992
22,19.580351999999998,0.7152639999999977,19.580351999999998,0,0,0.4470400000000012
23,19.759168000000003,0.17881600000000475,19.759168000000003,0,0,-0.08940799999999882
24,19.401536,-0.3576320000000024,19.401536,0,0,-0.3576320000000006
25,19.043904,-0.35763199999999884,19.043904,0,0,-0.6929120000000015
26,18.015711999999997,-1.0281920000000042,18.015711999999997,0,0,-0.7599680000000006
27,17.523968,-0.4917439999999971,17.523968,0,0,-0.42468799999999973
28,17.166335999999998,-0.3576320000000024,17.166335999999998,0,0,-0.1788160000000012
29,17.166335999999998,0.0,17.166335999999998,0,0,0.1788160000000012
30,17.523968,0.3576320000000024,17.523968,0,0,0.0894080000000006
31,17.345152,-0.1788160000000012,17.345152,0,0,-0.0894080000000006
32,17.345152,0.0,17.345152,0,0,-0.5140960000000003
33,16.316959999999998,-1.0281920000000007,16.316959999999998,0,0,-1.4528800000000004
34,14.439391999999998,-1.8775680000000001,14.439391999999998,0,0,-1.9893279999999987
35,12.338304,-2.101087999999997,12.338304,0,0,-2.235199999999999
