t,v,a,dS,h,alpha,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.02777777777777778
12,0.05555555555555556,0.05555555555555556,0.05555555555555556,0,0,0.2361111111111111
13,0.4722222222222222,0.41666666666666663,0.41666666666666663,0,0,0.7222222222222222
14,1.5,1.0277777777777777,1.0277777777777777,0,0,1.1388888888888888
15,2.75,1.25,1.25,0,0,1.0694444444444444
16,3.638888888888889,0.8888888888888888,0.8888888888888888,0,0,0.9722222222222219
17,4.694444444444444,1.055555555555555,1.055555555555555,0,0,1.1944444444444444
18,6.027777777777778,1.333333333333334,1.333333333333334,0,0,1.2638888888888893
19,7.222222222222222,1.1944444444444446,1.1944444444444446,0,0,0.8055555555555554
20,7.638888888888888,0.4166666666666661,0.4166666666666661,0,0,0.2916666666666665
21,7.805555555555555,0.16666666666666696,0.16666666666666696,0,0,0.11111111111111116
22,7.861111111111111,0.05555555555555536,0.05555555555555536,0,0,0.09722222222222232
23,8.0,0.13888888888888928,0.13888888888888928,0,0,0.1111111111111116
24,8.083333333333334,0.08333333333333393,0.08333333333333393,0,0,0.2777777777777777
25,8.555555555555555,0.47222222222222143,0.47222222222222143,0,0,0.3888888888888884
26,8.86111111111111,0.30555555555555536,0.30555555555555536,0,0,0.4583333333333339
27,9.472222222222223,0.6111111111111125,0.6111111111111125,0,0,0.6527777777777777
28,10.166666666666666,0.6944444444444429,0.6944444444444429,0,0,0.6944444444444438
29,10.86111111111111,0.6944444444444446,0.6944444444444446,0,0,0.6527777777777777
30,11.472222222222221,0.6111111111111107,0.6111111111111107,0,0,0.4722222222222223
31,11.805555555555555,0.3333333333333339,0.3333333333333339,0,0,0.2777777777777777
32,12.027777777777777,0.22222222222222143,0.22222222222222143,0,0,0.19444444444444375
33,12.194444444444443,0.16666666666666607,0.16666666666666607,0,0,0.15277777777777768
34,12.333333333333332,0.13888888888888928,0.13888888888888928,0,0,0.08333333333333393
