t,v,a,dS,h,alpha,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.11111111111111112
5,0.22222222222222224,0.22222222222222224,0.22222222222222224,0,0,0.5
6,1.0,0.7777777777777778,0.7777777777777778,0,0,1.0833333333333333
7,2.388888888888889,1.3888888888888888,1.3888888888888888,0,0,1.5277777777777777
8,4.055555555555555,1.6666666666666665,1.6666666666666665,0,0,1.5833333333333333
9,5.555555555555555,1.5,1.5,0,0,1.3611111111111107
10,6.777777777777777,1.2222222222222214,1.2222222222222214,0,0,1.1388888888888888
11,7.833333333333333,1.0555555555555562,1.0555555555555562,0,0,1.0138888888888893
12,8.805555555555555,0.9722222222222223,0.9722222222222223,0,0,0.9444444444444442
13,9.722222222222221,0.9166666666666661,0.9166666666666661,0,0,0.8194444444444446
14,10.444444444444445,0.7222222222222232,0.7222222222222232,0,0,0.6527777777777786
15,11.027777777777779,0.5833333333333339,0.5833333333333339,0,0,0.5416666666666661
16,11.527777777777777,0.4999999999999982,0.4999999999999982,0,0,0.5416666666666661
17,12.11111111111111,0.5833333333333339,0.5833333333333339,0,0,0.625
18,12.777777777777777,0.6666666666666661,0.6666666666666661,0,0,0.6666666666666661
19,13.444444444444443,0.6666666666666661,0.6666666666666661,0,0,0.625
20,14.027777777777777,0.5833333333333339,0.5833333333333339,0,0,0.4861111111111116
21,14.416666666666666,0.3888888888888893,0.3888888888888893,0,0,0.29166666666666696
22,14.61111111111111,0.19444444444444464,0.19444444444444464,0,0,0.125
23,14.666666666666666,0.05555555555555536,0.05555555555555536,0,0,0.041666666666666075
24,14.694444444444443,0.02777777777777679,0.02777777777777679,0,0,0.04166666666666696
25,14.75,0.055555555555557135,0.055555555555557135,0,0,0.05555555555555536
26,14.805555555555554,0.05555555555555358,0.05555555555555358,0,0,0.0
27,14.75,-0.05555555555555358,-0.05555555555555358,0,0,-0.1388888888888884
28,14.527777777777777,-0.2222222222222232,-0.2222222222222232,0,0,-0.33333333333333304
29,14.083333333333334,-0.44444444444444287,-0.44444444444444287,0,0,-0.4861111111111116
30,13.555555555555554,-0.5277777777777803,-0.5277777777777803,0,0,-0.5833333333333339
31,12.916666666666666,-0.6388888888888875,-0.6388888888888875,0,0,-0.6944444444444438
32,12.166666666666666,-0.75,-0.75,0,0,-0.8611111111111116
33,11.194444444444443,-0.9722222222222232,-0.9722222222222232,0,0,-1.083333333333333
34,10.0,-1.1944444444444429,-1.1944444444444429,0,0,-1.333333333333333
35,8.527777777777777,-1.4722222222222232,-1.4722222222222232,0,0,-1.4722222222222223
36,7.055555555555555,-1.4722222222222214,-1.4722222222222214,0,0,-1.3472222222222219
37,5.833333333333333,-1.2222222222222223,-1.2222222222222223,0,0,-1.2083333333333335
38,4.638888888888888,-1.1944444444444446,-1.1944444444444446,0,0,-1.0555555555555554
39,3.7222222222222223,-0.9166666666666661,-0.9166666666666661,0,0,-0.6527777777777777
40,3.333333333333333,-0.3888888888888893,-0.3888888888888893,0,0,-0.1805555555555558
41,3.3611111111111107,0.02777777777777768,0.02777777777777768,0,0,0.11111111111111138
