t,v,a,dS,h,alpha,a_new
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.1388888888888889
12,0.2777777777777778,0.2777777777777778,0.2777777777777778,0,0,0.2916666666666667
13,0.5833333333333334,0.3055555555555556,0.3055555555555556,0,0,0.5277777777777777
14,1.3333333333333333,0.7499999999999999,0.7499999999999999,0,0,0.9722222222222221
15,2.5277777777777777,1.1944444444444444,1.1944444444444444,0,0,1.3055555555555554
16,3.944444444444444,1.4166666666666665,1.4166666666666665,0,0,1.4861111111111112
17,5.5,1.5555555555555558,1.5555555555555558,0,0,1.5694444444444444
18,7.083333333333333,1.583333333333333,1.583333333333333,0,0,1.4861111111111107
19,8.472222222222221,1.3888888888888884,1.3888888888888884,0,0,1.2916666666666665
20,9.666666666666666,1.1944444444444446,1.1944444444444446,0,0,1.1527777777777777
21,10.777777777777777,1.1111111111111107,1.1111111111111107,0,0,1.125
22,11.916666666666666,1.1388888888888893,1.1388888888888893,0,0,1.0555555555555554
23,12.888888888888888,0.9722222222222214,0.9722222222222214,0,0,0.75
24,13.416666666666666,0.5277777777777786,0.5277777777777786,0,0,0.31944444444444553
25,13.527777777777779,0.11111111111111249,0.11111111111111249,0,0,0.02777777777777768
26,13.472222222222221,-0.055555555555557135,-0.055555555555557135,0,0,-0.04166666666666785
27,13.444444444444443,-0.027777777777778567,-0.027777777777778567,0,0,-0.041666666666666075
28,13.38888888888889,-0.05555555555555358,-0.05555555555555358,0,0,-0.08333333333333304
29,13.277777777777777,-0.11111111111111249,-0.11111111111111249,0,0,-0.16666666666666696
30,13.055555555555555,-0.22222222222222143,-0.22222222222222143,0,0,-0.2638888888888884
31,12.75,-0.30555555555555536,-0.30555555555555536,0,0,-0.29166666666666696
32,12.472222222222221,-0.27777777777777857,-0.27777777777777857,0,0,-0.20833333333333393
33,12.333333333333332,-0.13888888888888928,-0.13888888888888928,0,0,-0.08333333333333393
34,12.305555555555554,-0.027777777777778567,-0.027777777777778567,0,0,0.013888888888889284
35,12.36111111111111,0.055555555555557135,0.055555555555557135,0,0,0.11111111111111249
36,12.527777777777779,0.16666666666666785,0.16666666666666785,0,0,0.16666666666666696
37,12.694444444444445,0.16666666666666607,0.16666666666666607,0,0,0.12499999999999911
38,12.777777777777777,0.08333333333333215,0.08333333333333215,0,0,0.041666666666666075
39,12.777777777777777,0.0,0.0,0,0,0.0
40,12.777777777777777,0.0,0.0,0,0,0.013888888888889284
41,12.805555555555555,0.027777777777778567,0.027777777777778567,0,0,0.09722222222222321
42,12.972222222222223,0.16666666666666785,0.16666666666666785,0,0,0.22222222222222232
43,13.25,0.2777777777777768,0.2777777777777768,0,0,0.30555555555555447
44,13.583333333333332,0.33333333333333215,0.33333333333333215,0,0,0.3611111111111107
45,13.972222222222221,0.3888888888888893,0.3888888888888893,0,0,0.3750000000000009
