t,v,a,dS,alpha,h,a_new
0,0.0,0.0,0.0,0,0,0.0
1,0.0,0.0,0.0,0,0,0.0
2,0.0,0.0,0.0,0,0,0.0
3,0.0,0.0,0.0,0,0,0.0
4,0.0,0.0,0.0,0,0,0.0
5,0.0,0.0,0.0,0,0,0.0
6,0.0,0.0,0.0,0,0,0.0
7,0.0,0.0,0.0,0,0,0.0
8,0.0,0.0,0.0,0,0,0.0
9,0.0,0.0,0.0,0,0,0.0
10,0.0,0.0,0.0,0,0,0.0
11,0.0,0.0,0.0,0,0,0.0
12,0.0,0.0,0.0,0,0,0.0
13,0.0,0.0,0.0,0,0,0.0
14,0.0,0.0,0.0,0,0,0.4444444444444445
15,0.888888888888889,0.888888888888889,0.888888888888889,0,0,1.0416666666666667
16,2.0833333333333335,1.1944444444444446,2.0833333333333335,0,0,1.1666666666666665
17,3.222222222222222,1.1388888888888884,3.222222222222222,0,0,1.013888888888889
18,4.111111111111112,0.8888888888888897,4.111111111111112,0,0,0.8194444444444444
19,4.861111111111111,0.7499999999999991,4.861111111111111,0,0,0.7499999999999996
20,5.611111111111111,0.75,5.611111111111111,0,0,0.7777777777777781
21,6.416666666666667,0.8055555555555562,6.416666666666667,0,0,0.7916666666666665
22,7.194444444444444,0.7777777777777768,7.194444444444444,0,0,0.7638888888888888
23,7.944444444444445,0.7500000000000009,7.944444444444445,0,0,0.6805555555555558
24,8.555555555555555,0.6111111111111107,8.555555555555555,0,0,0.583333333333333
25,9.11111111111111,0.5555555555555554,9.11111111111111,0,0,0.583333333333333
26,9.722222222222221,0.6111111111111107,9.722222222222221,0,0,0.583333333333333
27,10.277777777777777,0.5555555555555554,10.277777777777777,0,0,0.5277777777777777
28,10.777777777777777,0.5,10.777777777777777,0,0,0.5000000000000009
29,11.277777777777779,0.5000000000000018,11.277777777777779,0,0,0.5416666666666679
30,11.861111111111112,0.5833333333333339,11.861111111111112,0,0,0.5555555555555554
31,12.38888888888889,0.5277777777777768,12.38888888888889,0,0,0.4861111111111107
32,12.833333333333334,0.44444444444444464,12.833333333333334,0,0,0.4861111111111107
33,13.36111111111111,0.5277777777777768,13.36111111111111,0,0,0.5555555555555554
34,13.944444444444445,0.5833333333333339,13.944444444444445,0,0,0.541666666666667
35,14.444444444444445,0.5,14.444444444444445,0,0,0.4722222222222223
